Table 6-68:  Approach 1 Quantitative Uncertainty Estimates for CO2 Flux Occurring within Vegetated Coastal Wetlands Converted to Unvegetated Open Water Coastal Wetlands in 1990 (MMT CO2 Eq. and Percent),,,,,
,,,,,
Source,1990 Flux Estimate,Uncertainty Range Relative to Flux Estimate,,,
,(MMT CO2 Eq.),(MMT CO2 Eq.),,(%),
,,Lower,Upper,Lower,Upper
,,Bound,Bound,Bound,Bound
Biomass C Stock,0.07,0.06,0.09,-24.10%,24.10%
Dead Organic Matter C Stock,+,+,+,-25.80%,25.80%
Soil C Stock,1.7,1.4,2,-15.00%,15.00%
Total Flux,1.8,1.2,2.3,-32.00%,32.00%
Note:  Totals may not sum due to independent rounding.,,,,,
+ Absolute value does not exceed 0.0005 MMT CO2 Eq.,,,,,
